Price,Square,District,Parking,Drying yard,AC,Water heater,Washing machine,TV,Fridge,Kitchen,Elevator,Bed
1900000,35,3,1,0,1,0,0,0,0,0,0,1
3800000,30,9,1,0,1,0,1,0,0,0,1,0
1000000,50,Go Vap,1,0,1,1,1,0,1,0,0,1
1500000,50,8,1,1,1,1,1,0,1,1,1,1
1500000,50,Thu Duc,1,1,1,0,1,0,1,1,0,1
1500000,50,Tan Binh,1,1,1,0,1,0,1,1,0,1
1800000,50,Binh Thanh,1,0,0,0,1,0,1,1,0,1
1800000,50,Tan Phu,1,0,1,0,0,0,1,1,0,1
6500000,30,7,1,0,0,0,0,0,0,0,1,0
5500000,40,3,1,0,1,1,1,1,1,1,0,1
3400000,30,Go Vap,1,1,1,0,1,0,1,0,0,1
5500000,30,1,1,0,1,1,1,1,1,1,0,1
6000000,30,1,0,0,0,0,0,0,0,0,0,0
2500000,20,Go Vap,0,0,1,0,0,1,0,0,0,1
5000000,35,1,0,0,0,0,0,0,0,0,0,0
4200000,25,7,0,0,1,1,1,0,1,0,0,1
4500000,22,Binh Thanh,0,0,1,0,1,1,1,1,1,1
3000000,25,Tan Binh,1,0,0,0,0,0,0,0,0,0
5500000,35,Nam Tu Liem,1,0,1,1,1,0,1,1,1,1
6600000,36,Binh Thanh,1,0,0,0,0,0,0,0,0,0
4000000,35,Cau Giay,1,0,0,1,0,0,0,1,0,1
2900000,32,Thu Duc,1,0,0,0,0,1,0,1,0,0
2900000,35,12,1,0,0,0,0,0,0,0,1,0
3000000,20,Tan Binh,0,0,1,0,0,0,0,1,0,0
3000000,22,Tan Binh,0,0,1,0,0,0,0,1,0,0
3500000,25,10,1,0,0,0,0,0,0,0,0,0
2800000,36,Binh Tan,0,0,1,1,0,0,0,1,1,0
4000000,35,4,1,1,0,0,1,0,0,0,0,0
3700000,25,Binh Thanh,1,0,1,0,0,1,1,1,0,0
4000000,30,Tan Phu,1,1,1,0,1,0,0,1,0,0
3600000,20,Go Vap,1,0,1,0,1,0,0,1,1,0
4500000,45,4,1,0,0,0,0,0,0,0,1,0
5000000,30,4,0,0,0,0,1,0,1,0,1,0
3500000,25,Ha Dong,1,0,0,1,1,0,1,1,0,1
3600000,25,Ha Dong,1,0,1,1,1,0,1,1,0,1
3800000,30,Tan Phu,1,1,1,0,0,0,1,1,1,1
2700000,20,Binh Thanh,1,0,0,0,0,0,0,1,0,0
1400000,35,Phu Nhuan,1,0,1,0,0,0,1,1,1,1
3000000,18,8,1,0,0,0,0,0,0,0,0,0
1550000,20,Go Vap,0,0,1,0,0,0,1,1,0,1
1600000,90,Go Vap,1,1,1,1,1,0,1,1,0,1
1400000,60,Go Vap,1,0,1,0,1,0,0,0,0,1
3700000,30,Dong Da,1,0,1,1,1,0,1,0,0,0
3800000,25,3,0,0,1,0,0,0,0,0,0,1
7000000,30,10,1,0,1,1,1,0,0,1,1,1
3500000,25,7,0,0,0,0,1,0,1,0,0,0
2000000,22,7,1,0,0,0,1,0,1,0,1,0
2500000,22,Tan Binh,0,0,0,0,0,0,0,0,0,0
2700000,25,11,1,0,0,0,0,0,0,0,0,0
3300000,25,10,0,0,0,0,0,0,0,0,0,0
3000000,25,3,1,1,1,0,0,0,0,0,0,0
3300000,25,Phu Nhuan,1,0,0,0,1,0,0,0,0,0
3000000,24,Tan Binh,1,0,0,0,0,0,0,0,0,0
3300000,25,3,1,0,1,0,1,0,0,0,0,0
2500000,18,Phu Nhuan,1,0,0,0,0,0,0,0,0,0
3000000,24,Tan Binh,1,0,0,0,0,0,0,0,0,0
2500000,22,Tan Binh,1,1,0,0,0,0,0,0,0,0
1900000,35,Go Vap,1,0,1,1,1,0,1,1,0,1
3500000,28,Tan Binh,1,1,1,1,1,0,1,1,0,1
3700000,30,Binh Thanh,1,0,0,0,0,0,0,0,0,0
1400000,30,Tan Phu,1,0,1,0,0,0,0,0,0,0
3500000,40,9,0,0,0,0,0,0,0,0,1,0
3000000,13,Binh Thanh,0,0,0,0,0,0,0,0,0,0
2500000,15,Binh Thanh,0,0,0,0,0,0,0,0,0,0
4200000,25,Tan Binh,1,0,0,0,0,0,0,0,1,0
3400000,28,Binh Tan,1,0,1,0,1,0,0,1,0,1
4400000,35,Tan Phu,1,0,1,1,1,0,1,1,0,1
3200000,30,6,1,0,0,0,0,0,0,0,0,0
6000000,25,10,1,0,1,0,0,1,1,0,1,1
7000000,30,10,1,0,1,0,0,1,0,1,1,1
3300000,20,9,1,0,1,0,0,0,0,0,0,1
6000000,60,10,1,1,0,0,1,0,0,1,0,1
5000000,30,Binh Thanh,1,0,1,1,1,1,1,1,0,1
3500000,30,Tan Phu,1,0,1,1,0,0,1,1,0,1
4500000,30,10,1,0,0,0,0,0,0,1,0,1
4000000,25,10,1,0,1,0,1,1,1,1,0,1
3500000,25,10,0,0,0,0,1,0,0,0,0,0
4500000,30,2,1,0,1,1,0,0,1,1,0,1
4500000,30,2,1,0,0,1,0,0,0,0,1,0
4700000,30,2,1,0,0,0,1,0,0,0,0,0
5300000,30,2,1,0,0,0,0,0,0,0,1,0
3000000,25,Tan Binh,1,1,0,0,0,0,0,0,0,0
2600000,20,7,0,0,0,0,0,0,0,0,0,0
2500000,20,8,1,0,0,0,0,1,0,1,1,0
4000000,20,7,1,0,1,1,1,0,0,1,0,1
3800000,30,9,1,0,1,1,0,0,1,1,0,1
2000000,15,Go Vap,1,0,0,0,1,1,0,1,0,0
4000000,30,Thu Duc,1,1,0,1,0,0,0,0,0,0
3500000,30,9,1,1,0,0,0,1,0,0,1,0
4500000,25,Binh Thanh,1,0,1,0,0,0,1,1,0,0
4500000,30,8,1,0,1,0,1,0,0,1,0,0
3200000,50,Binh Chanh,1,0,0,0,0,0,0,1,0,0
3500000,14,Cau Giay,0,0,1,1,1,0,0,1,0,1
4000000,30,7,1,0,0,0,1,0,0,0,1,0
3700000,35,Binh Tan,1,0,1,0,0,0,0,1,0,1
4700000,35,2,1,0,1,1,1,0,1,1,0,1
4200000,30,2,1,0,0,0,0,0,0,0,0,0
4500000,30,7,1,0,1,1,0,0,0,1,1,1
5500000,25,3,1,1,0,0,1,1,0,0,1,0
4200000,25,7,1,0,1,0,1,0,1,0,1,1
3500000,16,4,1,1,1,0,1,0,0,1,1,0
5000000,28,Tan Binh,1,0,1,0,1,0,0,1,0,1
3700000,25,7,1,1,0,0,1,0,0,1,1,1
4700000,40,2,1,0,0,0,0,0,0,0,0,0
4600000,25,Binh Thanh,1,0,1,0,0,1,1,1,1,1
4600000,23,5,1,0,1,1,1,1,1,0,0,0
3500000,30,Tan Phu,1,0,1,0,0,0,0,1,0,1
4500000,35,2,1,0,0,0,0,0,0,0,0,0
3200000,25,Binh Tan,1,0,1,0,0,0,0,1,0,0
